---SIMILARITIES VIDEO URL <-> IP BETWEEN DIFFERENT VANTAGE POINTS---
https://youtu.be/05HuTGeF5AA
                              ID                           Url                                                IP      VantagePoint
492   2020-10-28 00:01:09.218733  https://youtu.be/1s5070TgDZE  [173.194.184.139]                  ip-172-31-85-175
541   2020-10-28 06:01:16.656173  https://youtu.be/1s5070TgDZE  [173.194.7.107]                    ip-172-31-85-175
590   2020-10-29 12:01:08.588266  https://youtu.be/1s5070TgDZE  [173.194.184.139]                  ip-172-31-85-175
639   2020-10-29 18:01:11.576904  https://youtu.be/1s5070TgDZE  [173.194.184.139]                  ip-172-31-85-175
688   2020-10-30 00:01:15.355639  https://youtu.be/1s5070TgDZE  [173.194.184.139]                  ip-172-31-85-175
737   2020-10-30 06:01:11.702202  https://youtu.be/1s5070TgDZE  [173.194.7.107]                    ip-172-31-85-175
786   2020-10-27 12:01:27.404264  https://youtu.be/1s5070TgDZE  [74.125.11.106]                    ip-172-31-43-135
835   2020-10-27 18:01:25.380413  https://youtu.be/1s5070TgDZE  [74.125.11.106]                    ip-172-31-43-135
884   2020-10-28 00:01:13.567849  https://youtu.be/1s5070TgDZE  [74.125.173.138]                   ip-172-31-43-135
933   2020-10-28 06:01:13.904598  https://youtu.be/1s5070TgDZE  [74.125.173.138]                   ip-172-31-43-135
982   2020-10-29 12:01:11.872872  https://youtu.be/1s5070TgDZE  [74.125.11.106]                    ip-172-31-43-135
1031  2020-10-29 18:01:34.622426  https://youtu.be/1s5070TgDZE  [74.125.11.106]                    ip-172-31-43-135
1080  2020-10-30 00:01:16.921749  https://youtu.be/1s5070TgDZE  [74.125.173.138]                   ip-172-31-43-135
1129  2020-10-30 06:01:09.043705  https://youtu.be/1s5070TgDZE  [74.125.173.138]                   ip-172-31-43-135
1178  2020-10-27 12:01:33.758546  https://youtu.be/1s5070TgDZE  [74.125.158.43]                    ip-172-31-13-30
1227  2020-10-27 18:01:29.456487  https://youtu.be/1s5070TgDZE  [173.194.14.138, 74.125.171.74]    ip-172-31-13-30
1276  2020-10-28 00:01:26.868813  https://youtu.be/1s5070TgDZE  [74.125.158.43]                    ip-172-31-13-30
1325  2020-10-28 06:01:17.880041  https://youtu.be/1s5070TgDZE  [173.194.14.138]                   ip-172-31-13-30
1374  2020-10-29 12:01:26.088766  https://youtu.be/1s5070TgDZE  [173.194.14.138]                   ip-172-31-13-30
1423  2020-10-29 18:01:26.316665  https://youtu.be/1s5070TgDZE  [173.194.14.138]                   ip-172-31-13-30
1472  2020-10-30 00:01:27.746938  https://youtu.be/1s5070TgDZE  [173.194.14.138]                   ip-172-31-13-30
1521  2020-10-30 06:01:24.832127  https://youtu.be/1s5070TgDZE  [173.194.14.138]                   ip-172-31-13-30
1570  2020-10-27 12:01:41.566031  https://youtu.be/1s5070TgDZE  [74.125.96.234]                    ip-172-31-4-22
1618  2020-10-27 18:01:29.583608  https://youtu.be/1s5070TgDZE  [74.125.96.170]                    ip-172-31-4-22
1665  2020-10-28 00:01:31.069652  https://youtu.be/1s5070TgDZE  [74.125.96.170]                    ip-172-31-4-22
1713  2020-10-28 06:01:26.804532  https://youtu.be/1s5070TgDZE  [74.125.96.170]                    ip-172-31-4-22
1761  2020-10-29 12:01:31.324828  https://youtu.be/1s5070TgDZE  [74.125.96.170]                    ip-172-31-4-22
1809  2020-10-29 18:01:11.953248  https://youtu.be/1s5070TgDZE  [74.125.96.170]                    ip-172-31-4-22
1857  2020-10-30 00:01:30.960860  https://youtu.be/1s5070TgDZE  [74.125.96.234]                    ip-172-31-4-22
1905  2020-10-30 06:01:34.517254  https://youtu.be/1s5070TgDZE  [74.125.96.170]                    ip-172-31-4-22


https://youtu.be/1taLTJPwhCg
                              ID                           Url                                              IP      VantagePoint
47    2020-10-27 12:23:24.535137  https://youtu.be/1taLTJPwhCg  [173.194.166.233]                               ip-172-31-14-163
96    2020-10-27 18:21:02.552249  https://youtu.be/1taLTJPwhCg  [173.194.167.169]                               ip-172-31-14-163
145   2020-10-28 00:20:16.412289  https://youtu.be/1taLTJPwhCg  [173.194.167.169]                               ip-172-31-14-163
194   2020-10-28 06:19:39.713304  https://youtu.be/1taLTJPwhCg  [173.194.167.169]                               ip-172-31-14-163
